20 87
1 2 268
1 7 64
1 8 2982
1 9 2325
1 10 3595
1 12 3249
1 15 1573
1 17 2210
1 20 143
2 3 1190
2 4 3265
2 5 3459
2 6 1767
2 7 2413
2 11 620
2 14 4003
2 15 2802
2 18 2069
2 19 4060
2 20 2899
3 4 1408
3 6 2622
3 7 1311
3 13 174
3 14 4029
3 15 4460
3 16 3225
3 20 4922
4 5 3549
4 9 3920
4 10 3541
4 12 3637
4 18 560
5 7 3056
5 9 207
5 12 1216
5 13 411
5 14 2393
5 15 131
5 16 3143
5 17 4734
5 20 3079
6 7 4109
6 10 4544
6 13 525
6 17 2376
6 18 1839
6 19 2795
6 20 1130
7 8 1488
7 9 882
7 13 887
7 14 3136
7 17 1850
7 18 2703
8 10 1913
8 13 4768
8 14 2745
8 15 3214
8 18 1751
8 20 891
9 11 581
9 12 4115
9 19 2800
10 14 2282
10 18 1856
10 19 1341
10 20 1943
11 19 3613
12 13 3368
12 14 3994
12 15 3390
12 16 4304
12 17 2919
12 19 2441
13 16 731
13 18 4167
13 20 629
14 15 4034
14 17 4475
14 19 3299
14 20 1077
15 16 2699
15 18 1122
15 20 3792
16 18 174
16 19 140
