Case #0:
vaCmPqfl 110 68719
Case #1:
bTwhWTvh 195 93521
duCQFRlD 93 91647
fbiIGmKa 107 89168
TTro_akx 116 89080
FVvzbnnK 181 87312
RXnYHELn 91 85864
rgPjyZBT 133 84803
fZi_AlsS 157 70633
vaCmPqfl 110 68719
fpLVuUQQ 181 68351
RpMpfHgj 102 58360
GEMQkZzh 113 49664
GVWQrRJb 91 49183
yGucFudy 189 43519
EjcERQri 113 40207
SRGBcJQN 145 38660
RuTYFq_B 78 28600
hWUKyqHq 145 21117
DSRhlpcg 91 20340
dvwJFBUG 155 16708
OpCruvk_ 132 7896
D_DbSOFx 190 5921
aZudOSOi 95 5056
kudQrMwy 87 1163
HFABcMvJ 88 -8223
YUYnEqXY 157 -10308
OSqsFAYa 126 -12298
AGWLemjQ 189 -18666
kIWuRI_o 112 -22659
hw_eetgv 170 -27347
xvbxFgCR 180 -29000
HYfJInvr 71 -33299
exctFlXy 79 -36030
ImQxADVh 83 -40296
jhkdNVTN 101 -45599
btbyPSAt 120 -46173
mijGeNKq 118 -59095
WaFlKlKm 189 -91508
gxGwpNQk 150 -94776
IcczwWOl 125 -96999
Case #2:
gxmDmnHu 56 67234
WLLZGuOx 55 13788
HYfJInvr 71 -33299
kUyxrERv 57 -87165
rXJraUNz 61 -91924
Case #3:
fbiIGmKa 107 89168
TTro_akx 116 89080
FVvzbnnK 181 87312
rgPjyZBT 133 84803
fZi_AlsS 157 70633
vaCmPqfl 110 68719
fpLVuUQQ 181 68351
RpMpfHgj 102 58360
GEMQkZzh 113 49664
EjcERQri 113 40207
SRGBcJQN 145 38660
hWUKyqHq 145 21117
dvwJFBUG 155 16708
OpCruvk_ 132 7896
YUYnEqXY 157 -10308
OSqsFAYa 126 -12298
kIWuRI_o 112 -22659
hw_eetgv 170 -27347
xvbxFgCR 180 -29000
jhkdNVTN 101 -45599
btbyPSAt 120 -46173
mijGeNKq 118 -59095
gxGwpNQk 150 -94776
IcczwWOl 125 -96999
Case #4:
duCQFRlD 93 91647
RXnYHELn 91 85864
gpwLGJTU 48 74259
gxmDmnHu 56 67234
ShQXCbAS 37 56503
GVWQrRJb 91 49183
RuTYFq_B 78 28600
DSRhlpcg 91 20340
WLLZGuOx 55 13788
uvrPSQRV 43 6813
JQ_XERuA 41 1225
kudQrMwy 87 1163
HFABcMvJ 88 -8223
OFftPMnD 41 -23210
HYfJInvr 71 -33299
exctFlXy 79 -36030
ImQxADVh 83 -40296
kUyxrERv 57 -87165
rXJraUNz 61 -91924
